时间戳记,1. Gender,2. University location,3. University full name,4. Year of study at university,5. Are you in the first or last year of your program?,6. Major,7. Origin,8. Sheltering place during covid-19,"9. How strictly have you been observing the directives of ""quarantine"", ""confinement"", ""shelter-in-place"" and/or ""social distancing""  in your country? ","10. Have you experienced any recent dramatic or significant change in your life (loss or departure of a close friend or relative, you or a relative getting gravely sick, being in close contact with a Covid-infected person, financial difficulties, etc.)?","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Day time availability to follow classes]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Efficiency of learning or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Time devoted to studying or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Accessibility to internet]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Grades or marks]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Availability of essential study resources (computer, lab, etc.)]","12. Select the four best means of sustaining or improving ACADEMIC PERFORMANCE that you find effective during ""quarantine"":","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Living conditions (including lodging and sharing housing)]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Remote interactions with friends or family]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Family atmosphere]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Relationship with friends]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Meeting new people]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Professional interactions (students/teachers/collaborators)]","14. Select the four best means of sustaining or improving SOCIAL INTERACTIONS that you find effective during ""quanrantine"":","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality and availability of medical services]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your level of fatigue, pain, or headache]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your sleep condition]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of physically exercise]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your use of alcohol / tobacco / drugs]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of food, your digestion, appetite, and/or weight ]","16. Select the four best means of sustaining or improving PHYSICAL HEALTH and FITNESS that you find effective during ""quarantine"":","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Anxiety]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Sadness]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Loneliness ]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Self-confidence]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Serenity]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Motivation]","18. Select the four best means of sustaining or improving HAPPINESS and SATISFACTION that you find effective during ""quarantine"":","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Academic Performances]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Physical Health and Fitness]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Happiness and Satisfaction]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Social Interactions]","20. How do you rate overall the experience of ""quarantine"" and ""social distancing""?","21. Do you believe that a ""quarantine"" period is effective to contain the spread of coronavirus?","22. What did you miss most during the ""quarantine"" period?","By submitting your responses, you consent that your data will be used for research purposes"
2020-6-11 下午06:09:03,Male,France,Nice Cote d'Azur,4th,"Yes, I am in the first year of my program","Experimental sciences (physics, biology, chemistry)",Other,University lodging or temporary lodging near the university,5,NO,Neutral,Much Better,Better,Neutral,Neutral,Worse,"Attending class regularly, Doing homework regularly, Alternating studying and doing physical exercise, Listening to music while working",Worse,Better,Better,Better,Worse,Better,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Playing games with friends or family (potentially remotely)",Neutral,Neutral,Worse,Worse,Neutral,Better,"Eating well, Physically exercising, Going out in the sun, Drinking water regularly",Neutral,Neutral,Much Better,Better,Better,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music",Better,Better,Better,Neutral,4,4,Routine Freedom,I agree.
2020-6-11 下午06:30:27,Female,France,Nice Cote d'Azur,7th,"Yes, I am  in the last year of my program",Other sciences,Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, but due to other reasons",Neutral,Neutral,Worse,Worse,Neutral,Neutral,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Much Worse,Neutral,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Neutral,Worse,Neutral,Much Worse,"Sleeping well, Physically exercising, Drinking water regularly, Taking regular breaks/naps",Neutral,Neutral,Better,Neutral,Neutral,Neutral,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Doing housekeeping",Neutral,Worse,Neutral,Better,5,5,My family,I agree.
2020-6-11 下午07:08:52,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Other,Same country as university,Primary residence or your family place (if different from your university lodging),4,"YES, due to COVID-19",Better,Much Better,Better,Worse,Much Better,Neutral,"Attending class regularly, Doing homework regularly, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Much Better,Better,Much Better,Neutral,Better,Better,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Better,Much Better,Better,Better,Neutral,Much Better,"Sleeping well, Physically exercising, Taking showers or baths, Drinking water regularly",Much Better,Better,Neutral,Much Better,Much Better,Much Better,"Finishing to a lesson or do homework, Physically exercising, Doing arts and crafts or playing an instrument, Getting clean and dressing well",Much Better,Much Better,Much Better,Better,5,5,Going out to eat makis with my friends,I agree.
2020-6-11 下午07:09:00,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Other,Same country as university,Primary residence or your family place (if different from your university lodging),4,"YES, due to COVID-19",Better,Much Better,Better,Worse,Much Better,Neutral,"Attending class regularly, Doing homework regularly, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Much Better,Better,Much Better,Neutral,Better,Better,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Better,Much Better,Better,Better,Neutral,Much Better,"Sleeping well, Physically exercising, Taking showers or baths, Drinking water regularly",Much Better,Better,Neutral,Much Better,Much Better,Much Better,"Finishing to a lesson or do homework, Physically exercising, Doing arts and crafts or playing an instrument, Getting clean and dressing well",Much Better,Much Better,Much Better,Better,5,5,Going out to eat makis with my friends,I agree.
2020-6-11 下午07:22:56,Male,France,Sorbonne Université,3rd,"Yes, I am  in the last year of my program","Letters, languages, philosophy, history",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Neutral,Better,Worse,Better,Better,Worse,"Getting fast and reliable internet connection, Doing homework together with other students, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of pets or plants, Playing games with friends or family (potentially remotely)",Neutral,Better,Better,Better,Neutral,Worse,"Eating well, Sleeping well, Taking showers or baths, Drinking water regularly",Better,Better,Much Better,Much Better,Much Better,Neutral,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument, Cooking a nice meal",Neutral,Better,Better,Neutral,5,5,Parties with my friends,I agree.
2020-6-11 下午07:33:23,Male,Spain,Barcelona,6th,"Yes, this is a single year program",Other sciences,Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Worse,Much Worse,Better,Neutral,Neutral,Worse,"Doing homework together with other students, Alternating studying and doing physical exercise, Listening to music while working, Taking regularly little breaks/pauses/naps",Worse,Worse,Neutral,Neutral,Much Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Playing games with friends or family (potentially remotely)",Neutral,Worse,Much Worse,Much Worse,Worse,Better,"Eating well, Physically exercising, Going out in the sun, Taking regular breaks/naps",Worse,Worse,Worse,Neutral,Much Worse,Much Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music",Neutral,Worse,Worse,Worse,2,5,"Meeting the people I love like my family, my partner and family. Then I also missed a lot having time to break with work routines as I usually did by going to do a beer, do a walk at the mountain, go swimming, ...",I agree.
2020-6-11 下午07:33:50,Male,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,University lodging or temporary lodging near the university,5,NO,Neutral,Worse,Worse,Neutral,Better,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university",Neutral,Worse,Neutral,Worse,Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Neutral,Worse,Neutral,Better,"Eating well, Going out in the sun, Taking showers or baths, Drinking water regularly",Neutral,Neutral,Neutral,Better,Better,Neutral,"Learning something new, Watching videos or television, reading, or listening to music, Getting clean and dressing well, Cooking a nice meal",Better,Worse,Better,Worse,4,5,Nothing,I agree.
2020-6-11 下午07:53:17,Male,Korea South,ENSIIE,4th,"No, I am in the middle of the program",Math and statistics,Same country as university,University lodging or temporary lodging near the university,2,NO,Worse,Better,Neutral,Neutral,Neutral,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise",Neutral,Neutral,Neutral,Neutral,Much Worse,Better,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Playing games with friends or family (potentially remotely)",Neutral,Neutral,Much Worse,Worse,Neutral,Neutral,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Neutral,Neutral,Worse,Worse,Neutral,Worse,"Learning something new, Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music",Better,Worse,Neutral,Much Worse,2,2,Basketball and off-line classes,I agree.
2020-6-11 下午08:19:38,Male,France,Université Paris Sud,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Other,Other,5,"YES, but due to other reasons",Better,Neutral,Neutral,Neutral,Better,Better,"Getting fast and reliable internet connection, Doing homework regularly, Meeting one-on-one with instructors, Listening to music while working",Better,Better,Neutral,Neutral,Worse,Worse,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely)",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Physically exercising, Going out in the sun, Drinking water regularly, Taking regular breaks/naps",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Chatting, video-conferencing, or talking with friends or family, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Doing arts and crafts or playing an instrument",Neutral,Neutral,Neutral,Neutral,4,3,Home,I agree.
2020-6-11 下午08:35:13,Male,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,University lodging or temporary lodging near the university,3,NO,Worse,Much Worse,Worse,Worse,Neutral,Neutral,"Getting fast and reliable internet connection, Communicating online with other students during classes, Doing homework together with other students, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Much Worse,Neutral,Much Worse,Worse,"Taking care of pets or plants, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Worse,Much Worse,Better,Much Worse,"Sleeping well, Consuming less alcohol / tobacco / drugs, Taking showers or baths, Drinking water regularly",Better,Better,Better,Neutral,Neutral,Much Worse,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Getting clean and dressing well, Doing housekeeping",Worse,Much Worse,Neutral,Worse,2,5,My friends,I agree.
2020-6-11 下午08:42:59,Male,France,Nice Cote d'Azur,4th,"Yes, I am in the first year of my program",Other,Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, but due to other reasons",Better,Worse,Neutral,Much Worse,Worse,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Taking regularly little breaks/pauses/naps",Much Worse,Worse,Better,Worse,Much Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Playing games with friends or family (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Worse,Much Worse,Worse,Much Worse,Much Better,Better,"Eating well, Sleeping well, Going out in the sun, Drinking water regularly",Neutral,Neutral,Neutral,Neutral,Worse,Much Worse,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument, Cooking a nice meal",Worse,Neutral,Neutral,Much Worse,3,5,To see friend,I agree.
2020-6-11 下午09:07:30,Female,France,Nice Cote d'Azur,2nd,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Other,Primary residence or your family place (if different from your university lodging),4,NO,Worse,Much Worse,Worse,Neutral,Neutral,Worse,"Attending class regularly, Doing homework together with other students, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",Worse,Better,Neutral,Better,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of pets or plants, Physically exercising together (potentially remotely)",Neutral,Much Worse,Worse,Much Worse,Worse,Worse,"Eating well, Physically exercising, Going out in the sun, Drinking water regularly",Neutral,Worse,Worse,Worse,Much Worse,Much Worse,"Finishing to a lesson or do homework, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Doing housekeeping",Worse,Worse,Worse,Neutral,2,5,"having a necessary reason to get out of bed in the morning, ",I agree.
